Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-2_Full64; Runtime version N-2017.12-SP2-2_Full64;  Feb  6 22:00 2019
time =                    0ns clk = 0 n_rst = 0 up_dwn = 0 count1=x count2=  x 
 
time =                    5ns clk = 1 n_rst = 0 up_dwn = 0 count1=0 count2=  0 
 
time =                   10ns clk = 0 n_rst = 0 up_dwn = 0 count1=0 count2=  0 
 
time =                   15ns clk = 1 n_rst = 1 up_dwn = 1 count1=1 count2=  1 
 
time =                   20ns clk = 0 n_rst = 1 up_dwn = 1 count1=1 count2=  1 
 
time =                   25ns clk = 1 n_rst = 1 up_dwn = 1 count1=2 count2=  2 
 
time =                   30ns clk = 0 n_rst = 1 up_dwn = 1 count1=2 count2=  2 
 
time =                   35ns clk = 1 n_rst = 1 up_dwn = 1 count1=3 count2=  3 
 
time =                   40ns clk = 0 n_rst = 1 up_dwn = 1 count1=3 count2=  3 
 
time =                   45ns clk = 1 n_rst = 1 up_dwn = 0 count1=2 count2=  2 
 
time =                   50ns clk = 0 n_rst = 1 up_dwn = 0 count1=2 count2=  2 
 
time =                   55ns clk = 1 n_rst = 1 up_dwn = 0 count1=1 count2=  1 
 
time =                   60ns clk = 0 n_rst = 1 up_dwn = 0 count1=1 count2=  1 
 
time =                   65ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                   70ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                   75ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                   80ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                   85ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                   90ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                   95ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  100ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  105ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  110ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  115ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  120ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  125ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  130ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  135ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  140ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  145ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  150ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  155ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  160ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  165ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  170ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  175ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  180ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  185ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  190ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  195ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  200ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  205ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                  210ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
